Time,Screen Name,Tweet,RT,Followers
0:00:00,@zroadruner,#WakeUpAmerica NEVER FORGET THIS QUOTE! @realDonaldTrump @oreillyfactor @greta @theblaze @foxandfriends @SteveDoocy https://t.co/ZXs3qqd5wv,0,1376
0:00:11,@TrumpWins201620,RT @SpecialKMB1969: The MSM & the Left hell I wouldn't be surprised if the #GOP Elites are behind it as well! #WakeUpAmerica #VOTETRUMP htt…,11,107
0:00:32,@james_141jaw,RT @jjadamsny888: If #Hillary can beat #Trump WHY liberals attack Trump b4 his nomination? #WakeUpAmerica ! #TrumpTrain #Trump2016 https:…,10,195
0:00:32,@perriganps,RT @phil200269: This Could Be Our Last Chance To Save What's Left of America. #MAGA #Trump2016 #AZPrimary #WakeUpAmerica https://t.co/NuV…,49,55
0:00:33,@Quackenbush88,@loudobbsnews Who the hell would vote for cheating the voters?? #WakeUpAmerica,1,110
0:00:34,@Karmasan2013,RT @GarzaVillanueva: #Uslatino @realDonaldTrump predicts riots if denied @GOP presidential nomination: #CNN interview: #WakeUpAmerica https…,21,1173
0:00:41,@Patriotvnvet,RT @Mike_Beacham: #WakeUpAmerica UK is struggling with what we must avoid. #STOPtheMuslimINVASION PROTECT AMERICA @realDonaldTrump http…,12,4083
0:00:43,@WWWineWitch,"RT @Stonewall_77: NOT JUST NO, BUT HELL NO! #WeThePeople #GOP(e) #WakeUpAmerica #TrumpTrain # https://t.co/bKzs2RIkaQ",210,177
0:00:57,@HuckleberryBull,RT @SpecialKMB1969: The MSM & the Left hell I wouldn't be surprised if the #GOP Elites are behind it as well! #WakeUpAmerica #VOTETRUMP htt…,11,1878
0:01:08,@mdavilamartinez,RT @kbrz_z: @EWErickson and the Cuckservatives... #AlwaysTrump #Trump2016 #WakeUpAmerica #DumpTheEstabishment @Ricky_Vaughn99 https://t.co…,25,87
0:01:43,@richardlantz1,RT @RNRMaryland: Better #WakeUpAmerica #BlackLivesMatter is a coalition of Anti-American enemies! #RedNationRising #PJNET #ccot #tcot https…,60,217
0:01:46,@soldier_nchrist,"RT @Stonewall_77: NOT JUST NO, BUT HELL NO! #WeThePeople #GOP(e) #WakeUpAmerica #TrumpTrain # https://t.co/bKzs2RIkaQ",210,85
0:02:18,@JSilamianos,RT @ericbolling: Thank you .@twitter and thanks to all of YOU & @FOXNEWS for making #WakeUpAmerica a top trend ranking (#6) in 2015 https…,368,23
0:02:20,@Network_Citizen,MT @LibertyUSA1776: And the winner for the biggest #WarOnWomen goes to #HillaryClinton. https://t.co/UEkCKQVoMj #WakeUpAmerica #PJNET,0,5609
0:02:25,@CABar5150,RT @LindaSuhler: #WakeUpAmerica ⚡️POWERFUL PROGRAM⚡️ #TCOT Listen to @SheriffClarke SATURDAYS 11:30am CST ✔️https://t.co/Fdfu3JnviW https:…,108,31
0:02:31,@PhoenixJDV,"@DineshDSouza. Ohhh, snaps! #tcot #WakeUpAmerica #ccot",0,154
0:02:51,@sowhat63764351,RT @shannafightscps: RT/MOM Calls4national email investigation 4CHILD PROTECTIVE SERVICES&affil./FB #Fightcps #YRkidsNEXT #WakeUpAmerica ht…,7,5003
0:02:56,@jg_simpson,RT @SpecialKMB1969: The MSM & the Left hell I wouldn't be surprised if the #GOP Elites are behind it as well! #WakeUpAmerica #VOTETRUMP htt…,11,716
0:03:09,@PhillipLaird,RT @BikinInMaine: MT @PatriotJewel: #WakeUpAmerica & VOTE #CRUZ. He has always fought for our rights! https://t.co/N8eP3wI8Xd #CruzCrew #PJ…,5,6223
0:03:11,@paulbaja,"RT @jstines3: TED CRUZ, in a quiet moment after the debate. GETS MY VOTE! #PJNET #Cruz2016 #CruzCrew #WakeUpAmerica #TCOT https://t.co/…",9,1952
0:03:45,@Free_All_Women,RT @ImagineAnna: #LyingTed Cruz and toilets #WakeUpAmerica #tcot #MakeAmericaGreatAgain #TrumpTrain #Trump2016 #ArizonaPrimary https://t.co…,1,186
0:03:52,@hancock_lucille,RT @Network_Citizen: MT @MissyBash: Obama is lying. Economy is tanking. This time it's not Bush's fault. https://t.co/FuXioFC3zT #WakeUpAme…,24,198
0:03:53,@texasfreedom101,MT @PatriotJewel: #WakeUpAmerica & VOTE #CRUZ. He has always fought for our rights! https://t.co/M5vflFlPBc #CruzCrew #PJNET,2,6640
0:03:54,@ripperroo2021,RT @RealNinjetta: @realDonaldTrump With this attitude WE WILL Make America Great Again #Trump #WakeUpAmerica #MakeAmericaGreatAgain https:…,29,83
0:04:43,@IvoryDove,RT @texasfreedom101: MT @PatriotJewel: #WakeUpAmerica & VOTE #CRUZ. He has always fought for our rights! https://t.co/M5vflFlPBc #CruzCrew …,2,8757
0:04:43,@MJNRealtor,"RT @TheLibertyLogan: @ericbolling has banned @MichelleFields from cashin in. Wow, what a pathetic man. #WakeUpAmerica",1,720
0:04:45,@sewpc123,RT @RedRising11: Obama Hikes Post-Presidency Payments. WTH?! What a POS @POTUS is! #RedNationRising #WakeUpAmerica #PJNET #TCOT #CCOT https…,26,2747
0:04:46,@Stevefidelis,RT @jstines3: The ARMY OF THE LORD will be victorious! #WakeUpAmerica #RenewUS #PJNET #TCOT https://t.co/yeMTz99hSv,8,526
0:04:49,@SydDaniels,RT @Joe_America1776: Surprise! ‘Feminist’ Bernie Sanders’ Male Employees Make More than the Women… #TCOT #WakeUpAmerica #PJNET https://t.co…,2,3835
0:04:54,@TinaSackman1,RT @AllRepublicans: Unofficial #DonaldTrump Battle Cry that will #MakeAmericaGreatAgain! #WakeUpAmerica #Iowa #NewHampshire #Nevada #SC htt…,83,4657
0:05:18,@K77491259,RT @Stonewall_77: NO HEARING FOR GARLAND 🇺🇸🇺🇸🇺🇸🇺🇸 #WeThePeople #GOP(e) #WakeUpAmerica #tcot #SCOTUSnominee #SCOTUS #NRA #2A #Veterans https…,217,400
0:05:20,@txdad,RT @Stonewall_77: NO HEARING FOR GARLAND 🇺🇸🇺🇸🇺🇸🇺🇸 #WeThePeople #GOP(e) #WakeUpAmerica #tcot #SCOTUSnominee #SCOTUS #NRA #2A #Veterans https…,217,246
0:05:29,@mskimrose,RT @Network_Citizen: MT @Babbsgirl2: Obama has done more to hurt the American people than any president in history. https://t.co/iG9wryw5T6…,5,7659
0:05:42,@Shamrock1897,RT @Network_Citizen: MT @MissyBash: Obama is lying. Economy is tanking. This time it's not Bush's fault. https://t.co/FuXioFC3zT #WakeUpAme…,24,808
0:05:51,@moniquesourdif,RT @SpecialKMB1969: The MSM & the Left hell I wouldn't be surprised if the #GOP Elites are behind it as well! #WakeUpAmerica #VOTETRUMP htt…,11,637
0:05:53,@ChocChip52,RT @Stonewall_77: NO HEARING FOR GARLAND 🇺🇸🇺🇸🇺🇸🇺🇸 #WeThePeople #GOP(e) #WakeUpAmerica #tcot #SCOTUSnominee #SCOTUS #NRA #2A #Veterans https…,217,431
0:05:58,@Donnie4Prez,RT @kbrz_z: @EWErickson and the Cuckservatives... #AlwaysTrump #Trump2016 #WakeUpAmerica #DumpTheEstabishment @Ricky_Vaughn99 https://t.co…,25,138
0:06:00,@tonygreene113,RT @Network_Citizen: MT @MissyBash: Obama is lying. Economy is tanking. This time it's not Bush's fault. https://t.co/FuXioFC3zT #WakeUpAme…,24,3308
0:06:13,@FEIHU69,RT @Stonewall_77: NO HEARING FOR GARLAND 🇺🇸🇺🇸🇺🇸🇺🇸 #WeThePeople #GOP(e) #WakeUpAmerica #tcot #SCOTUSnominee #SCOTUS #NRA #2A #Veterans https…,217,1234
0:06:32,@zroadruner,Speaker… His Reponse Left the students Jaws On The Floor after the interrupted him WOW #WakeUpAmerica https://t.co/HZIq70r6EX,0,1376
0:06:38,@DukeofEarlDD,RT @phil200269: This Could Be Our Last Chance To Save What's Left of America. #MAGA #Trump2016 #AZPrimary #WakeUpAmerica https://t.co/NuV…,49,438
0:06:49,@PIX2CLICK,RT @Network_Citizen: MT @Babbsgirl2: Obama has done more to hurt the American people than any president in history. https://t.co/iG9wryw5T6…,5,1024
0:07:02,@AIGTeacher,RT @beachwaves22: Biased media gives ONLY their view! #WakeUpAmerica #Trump2016 https://t.co/SsAJ6f2kDu,1,54
