Time,Screen Name,Tweet,RT,Followers
0:00:00,@RemyKyd,RT @_feel_the_bern_: #FeelTheBern The Only Presidential Candidate That Makes Indian Country a Priority: Native People Feeling the Be... htt…,21,969
0:01:00,@Jvirden22,"""Bernie people are going after Trump cause he's in the lead""-Scott Brown. WHAT?!? Wait.Y am I even surprised at blind ignorance #FeelTheBern",1,2
0:01:00,@VictorB836,RT @USMCLiberal: My new profile pic - seems appropriate. #FeelTheBern #vets4bernie #veterans #Iraqwar #BernieSanders #Bernie2016 http://t.…,29,1921
0:01:00,@NMwomen4Bernie,"RT @NCForBernie: Let's keep it going sisters & brothers. Phone bank, canvass &amp; donate. https://t.co/nb8KTHUJrw #FeelTheBern https://t.co/X2…",55,46
0:01:00,@iamshunkwugga,RT @Libertea2012: Finally the TRUTH: @DWStweets is a disgrace | #BernieOrBust‼ #FeelTheBern #UniteBlue #1u #p2 https://t.co/XFkPb7hRJq http…,15,259
0:01:00,@JMP_Mulcahy,Reality setting in. Hillary will get Democratic nomination. Fact. #FeelTheBern #FeelinTheBernOut,0,2320
0:01:00,@feathersnpaws,How the oligarchs & GOP have bled the 99% &amp; made us fight each other for the crumbs. #HillNo #FeelTheBern @cenkuygur https://t.co/bhWjNz6Fzc,7,73
0:01:00,@abioluboode,"RT @MrDane1982: Some may #FeelTheBern, but here's why we're (@azcentral ) endorsing #HillaryClinton in the #AZPrimary https://t.co/WAmYyFjD…",20,6795
0:01:00,@_cosmokeysha,RT @BerniePapers: RT for a chance to win a free pack of #FeelTheBern papers! Order now @ https://t.co/S5cROC8RQo 😎 https://t.co/OGFOrPGTRP,123,200
0:01:00,@alp3661,"Bernie Sanders Blows Out Donald Trump As 14,000 Show Up For Salt Lake City #FeelTheBern Rally via @politicususa https://t.co/2wWQr9m2AP",0,816
0:01:00,@moran1998_moran,RT @asmith001992: Utah <3 #FeelTheBern #Bernie2016 #BernieSanders #StillSanders https://t.co/WPy75xY8mf,30,1134
0:01:00,@ktnicoll87,RT @RoseAnnDeMoro: The Establishment is using MSM to choose the winner for us. But we will win the West! #StillSanders #FeelTheBern https:/…,197,5194
0:01:00,@keyserlynnv,#StillSanders #AlwaysSanders #FeelTheBern #NeverHillary https://t.co/mZUGaY8jr8,0,6593
0:01:00,@sanders4all,RT @Angeria7777: #WeAreBernie #BernieOrBust #StillSanders #Bernie2016 #FeelTheBern https://t.co/wjPohnFajf,13,1843
0:01:00,@ktnicoll87,RT @People4Bernie: Add your name. Tell @pfizer to pay the taxes they owe! #FeelTheBern https://t.co/3fMBPKFzmG https://t.co/JO29rcZh1K,171,3432
0:01:00,@foreverrpaola,RT @RaeSremmurd: #FeelTheBern https://t.co/W8cfVV9Vmx,126,405
0:01:00,@MamaBear64,RT @Libertea2012: Finally the TRUTH: @DWStweets is a disgrace | #BernieOrBust‼ #FeelTheBern #UniteBlue #1u #p2 https://t.co/XFkPb7hRJq http…,15,541
0:01:00,@RenRandall,RT @People4Bernie: Add your name. Tell @pfizer to pay the taxes they owe! #FeelTheBern https://t.co/3fMBPKFzmG https://t.co/JO29rcZh1K,171,73
0:01:00,@ideasloop,"Bernie is BY FAR the best Democratic candidate in 40+ years. We must seize the opportunity NOW with TOTAL, UNWAVERING SUPPORT! #feelthebern",0,1134
0:01:00,@rafie281,RT @BayArea4Bernie: Who's in? Just 10 minutes a day could make a huge difference. #NotMeUs #FeelTheBern https://t.co/zvT2SOvg75 https://t…,20,5194
0:01:00,@TwistedFog,RT @kimfrederi: Wth? No Bernie this is not presidential & won't win #AZPrimary #azprimario #FeelTheBern https://t.co/tcWYbHb4J9 https://t.…,36,46
0:01:00,@bayarea_bias,"RT @Bernie_Facts: For the sake of the Democratic Party, the general election, and America, Bernie has to be the nominee. #StillSanders #Fee…",46,122
0:01:00,@WaAmaLionTruth,.@HillaryClinton #FeelTheBern,0,23
0:01:00,@JessKerr16,"RT @People4Bernie: We're here to build power with love and understanding, not hate and contempt #UtahCaucus #FeelTheBern https://t.co/ryuoe…",189,295
0:01:00,@IanMolony,RT @GlennHeiser: California! Stand Up for Your Right to Be Counted in a Democracy! #FeelTheBern #BernieSanders #Bernie #California https://…,75,23
0:01:00,@baroqueartisan,"RT @BernieVolunteer: Today: #BernieSanders rally #Utah #SaltLakeCity. 10,000+ expected for rally on Monday. #feelthebern #follow4follow htt…",24,232
0:01:00,@jennycatotally,RT @RaeSremmurd: #FeelTheBern https://t.co/W8cfVV9Vmx,126,16
0:01:00,@ladyjulbug,Bernie Sanders Rally Flagstaff Arizona (3-17-16) https://t.co/axT5VTTCYL He gave a great speech! #FeelTheBern,0,2142
0:01:00,@cruise_peter,RT @ND4Bernie: @funkinatrix #AxeEm #Texas #SFAustin #GetInTheGame #FeelTheBern @BerninForBernie @Women4BernieTX @TexasForBernie https://t.…,6,83
0:01:00,@indigoace40,RT @Libertea2012: RT For 30 years has Bernie Sanders stood up for workers in this country. #FeelTheBern #Bernie2016 https://t.co/uaYiee3528…,47,118
0:01:00,@davidlmoffett,"RT @femischo: Today at our ""socialist"" public library @BernieSanders @Women4Bernie #FeelTheBern @VetsForBernie @Humanist4Bernie https://t.…",71,2142
0:01:00,@keyserlynnv,#StillSanders #AlwaysSanders #FeelTheBern #NeverHillary https://t.co/miZfX5KtFc,0,1105
0:02:00,@baroqueartisan,"RT @BernieVolunteer: 10,000+ #BernieSanders supporters #SALTLAKECITY in #Utah. #FeelTheBern #teamfollowback #follow4follow #f4f https://t.c…",17,140
0:02:00,@richyfeIix,#FEELTHEBERN TUCSON!! WE STAND WITH YOU BERNIE! ❤️,7,473
0:02:00,@NMwomen4Bernie,RT @kujo71: Activist Julian Mack explains his support for Sen. Sanders on Vimeo #FeelTheBern #BernieSanders https://t.co/5nNZP932Aw,11,79
0:02:00,@greenmitera,Nope - and everything you tweet about is less than 50% her. #1u actually means the workers. They #FeelTheBern https://t.co/Ua4WOOn9OX,1,76
