Time,Screen Name,Tweet,Followers,RT
0:00:00,@CommanderSardes,"@WSJ it's too cold out side for #Angels to fly, It's even colder than a landlord's heart... #Housefull3 #housemusic #househunters¬ #LoveWins",3254,0
0:01:11,@mena24a,RT @Reneeitchka: I have loved seeing all the postings of mixed families! #InterracialFamily #LoveWins #throwbackpicture https://t.co/ucOQyc…,733,93
0:01:18,@mena24a,RT @Reneeitchka: I was just in @OldNavy this weekend! Bought something for me and my husband. #LoveWins https://t.co/fE5s97yDny,733,1025
0:01:39,@mlyjln,#LoveWins https://t.co/YuP64uZbe5,259,0
0:03:03,@SavageHenry715,RT @LemanieGrace: In 2016 there are still people who would hate my parents because of their different skin colors. https://t.co/IQMBw9ys16…,303,1
0:03:06,@SavageHenry715,"RT @LemanieGrace: ""Interracial Families Share Photos in Response to @OldNavy's Ad."" Behold: black, white & brown Stovalls. #LoveWins https:…",303,1
0:04:36,@godismikey,it's something so strange about 18 yo boys dating 25+ men. but hey #lovewins right? or does money? lmaooo,5667,0
0:05:27,@RealGlenMagro,North Carolina and Mississippi governments need to grow up and act their ages. #LoveWins,63,0
0:05:51,@JustMerelyn,RT @Reneeitchka: I was just in @OldNavy this weekend! Bought something for me and my husband. #LoveWins https://t.co/fE5s97yDny,134,1025
0:06:13,@imanbr,#LoveWins https://t.co/Y4w7Q88Rm7,59468,3
0:06:40,@Riezkyanow,RT @imanbr: #LoveWins https://t.co/Y4w7Q88Rm7,1094,3
0:06:44,@RockandLedge,RT @kharyp: Interracial Families Share Their Photos In Response To @OldNavy's New Ad #LoveWins https://t.co/0nJLMbGlO7 https://t.co/G09ND…,1199,26
0:07:33,@Carrie49444,#LoveWins 👫👬👭,9,0
0:07:36,@LoveWins_Dating,Seeking a soulmate for life? Find them at https://t.co/Cz6O3D7Tug #LoveWins #LGBT https://t.co/Qajlbhi2bj,1037,1
0:07:40,@PattyHerkins,@MelMajik9 #lovewins,18,0
0:07:41,@anggathehacker,RT @imanbr: #LoveWins https://t.co/Y4w7Q88Rm7,760,3
0:08:09,@shannen_kay,RT @Reneeitchka: I was just in @OldNavy this weekend! Bought something for me and my husband. #LoveWins https://t.co/fE5s97yDny,75,1025
0:08:41,@shannen_kay,RT @Reneeitchka: I have loved seeing all the postings of mixed families! #InterracialFamily #LoveWins #throwbackpicture https://t.co/ucOQyc…,75,93
0:09:22,@helloayessa,#lovewins 💓 https://t.co/7XTyAil1Q0,677,0
0:10:25,@maulanadri25,RT @imanbr: #LoveWins https://t.co/Y4w7Q88Rm7,686,3
0:11:11,@PurpleMinah_19,@InfinitelySY @basedmyoui I love how the gif includes the gay kissing minions ♥ #LoveWins https://t.co/NZynAIiS7A,454,0
0:11:19,@JustMerelyn,RT @Reneeitchka: I have loved seeing all the postings of mixed families! #InterracialFamily #LoveWins #throwbackpicture https://t.co/ucOQyc…,134,93
0:11:31,@yourartcrush,#OldNavy 4 years after the wedding... #Plus1 #LoveWins #unbothered https://t.co/754NR7QT39,1358,0
0:12:55,@JDCortez_14,"My family isn't an interracial family, it's just a family. Thank you, @OldNavy. #LoveWins https://t.co/9lc5hnU66o",692,0
0:13:11,@MEETtheBatman,#LoveWins #goals https://t.co/9VfmaU4Np3,199,0
0:13:51,@jas21076,"Life is not about what you have , its about who you share it with...❤ #LoveWins #life #ShareTheLove #enjoy",79,0
0:14:30,@kylekage,This @OldNavy criticism nonsense has me back on twitter for one day only #lovewins #interracialcouple https://t.co/izeqmzpryF,47,0
0:16:01,@voielactees,I'll choose old navy from now on. #OldNavy #LoveWins https://t.co/ca97gIzdYg,42,0
0:17:41,@alxslzy,RT @gayaussiede: This is one message from the church that I can't argue with! 😛🙏🏼🙌🏼 #LoveWins #teamgay #teambottom http://t.co/RBumROe8xi,5450,26
0:18:38,@Allegratastic,THIS: https://t.co/jYZqcUMJhx #JackMcCain #ReneeSwiftMcCain #LoveWins,1719,1
0:19:34,@JAAYXVX,RT @gayaussiede: This is one message from the church that I can't argue with! 😛🙏🏼🙌🏼 #LoveWins #teamgay #teambottom http://t.co/RBumROe8xi,266,26
0:19:38,@lexyInc_,"America, land of the free indeed. #LoveWins https://t.co/Fn246fHDIf",253,0
0:20:09,@herschww,"Well done, Jack! #LoveWins https://t.co/4bw1RPEzLX via @MicNews",29,0
0:20:18,@Mariajose1022,#LoveWins #OldNavy ♥️ https://t.co/vuoxMhfFs7,97,0
0:21:10,@cutforgavin,RT @gayaussiede: This is one message from the church that I can't argue with! 😛🙏🏼🙌🏼 #LoveWins #teamgay #teambottom http://t.co/RBumROe8xi,1307,26
0:21:21,@rxglenn,.@kcseopro Let's connect on #LinkedIn #GrowthHacker #LifeHacker #NothingCompares2U #LoveWins https://t.co/05Mra7wZV0,2172,1
0:22:42,@lovmylife24,@OldNavy @TODAYshow #lovewins,38,0
0:25:34,@ck94117,WTF is wrong w/ idiots in this country? Upbeat Interracial Ad for Old Navy Leads to Backlash https://t.co/f7pYO2HPzS #lovewins,87,0
0:25:57,@bostonCREAM_pie,@amaysing_ @TASH_mahall cool thanks for the clarification. Much love #lovewins,352,0
0:26:26,@gwenniepearl,RT @FFCCOOLJC: @OldNavy @TODAYshow #interracialfamiliesrock #lovewins #MentalHealthAwarenessMonth Racists need psychological help! https://…,46,12
0:27:58,@_revablitz,#lovewins #shesaidyes @AyeeitsRachael_ @KenzieK101 https://t.co/iXwjMfjibX,251,2
0:28:17,@KenzieK101,RT @_revablitz: #lovewins #shesaidyes @AyeeitsRachael_ @KenzieK101 https://t.co/iXwjMfjibX,434,2
0:28:20,@AyeeitsRachael_,RT @_revablitz: #lovewins #shesaidyes @AyeeitsRachael_ @KenzieK101 https://t.co/iXwjMfjibX,554,2
0:28:53,@robertocarelli,#LoveWins https://t.co/gZcTfAdPHD,58,0
0:29:26,@mayleechai,❤️ #lovewins https://t.co/RqfPpeeVzi,1096,0
0:29:37,@loveandmush,RT @FFCCOOLJC: @OldNavy @TODAYshow #interracialfamiliesrock #lovewins #MentalHealthAwarenessMonth Racists need psychological help! https://…,196,12
0:31:08,@ElderBelanger,RT @FFCCOOLJC: @OldNavy @TODAYshow #interracialfamiliesrock #lovewins #MentalHealthAwarenessMonth Racists need psychological help! https://…,531,12
0:32:11,@Hugs4Chris,RT @camilamassieu: @chriscolfer this is my fav chapter bc children need to learn that love is love 😍❤️💛💚💙💜 #LoveWins https://t.co/CEKH7UHECP,4178,5
0:32:34,@Kyounghayoo,RT @JeffreyAReddick: @Georgia_McBride @McCainJack @Reneeitchka #LoveWins #70's #InterracialFamily https://t.co/sKdQQ1H0S7,24600,1
0:32:55,@LoveWins_Dating,Start dating today at https://t.co/Cz6O3CQi5G for FREE #LoveWins https://t.co/CKCagkAHI7,1037,1
0:33:38,@Jenny_Lynne_M,#LoveWins :) https://t.co/jEFMlLezeC,11,0
0:33:41,@StMarksMpls,#saintmarksmpls #ourcathedral #godloveseverybody #lovewins #lovewins❤️💛💚💙💜 @ Saint Mark's… https://t.co/iivWZIf91I,30,0
0:33:58,@Lil_Pres_Bruh,RT @emilyxmadison: The fact that it's 2016 & people freaked out over an ad of an interracial family is disturbing #OldNavy #LoveWins https:…,701,61
0:34:16,@Itsjo____,RT @emilyxmadison: The fact that it's 2016 & people freaked out over an ad of an interracial family is disturbing #OldNavy #LoveWins https:…,455,61
0:34:19,@YupItsJamil,RT @emilyxmadison: The fact that it's 2016 & people freaked out over an ad of an interracial family is disturbing #OldNavy #LoveWins https:…,1219,61
0:36:13,@Marc12394,#MothersDay #son #kiss #love #LoveWins #amarillo #texas https://t.co/qFqJnRAx4g,134,0
0:36:59,@_gabbylopez,RT @emilyxmadison: The fact that it's 2016 & people freaked out over an ad of an interracial family is disturbing #OldNavy #LoveWins https:…,295,61
0:38:20,@LeifHenning,RT @rxglenn: .@kcseopro Let's connect on #LinkedIn #GrowthHacker #LifeHacker #NothingCompares2U #LoveWins https://t.co/05Mra7wZV0,1225,1
0:39:29,@PfsNation,RT @Khary4Congress: Suicide help lines have experienced double call volume with new NC law. #RepealHB2 #LoveWins https://t.co/kyONQ1MBgO ht…,481,1
0:40:23,@sez_001,Rt & follow baby #Lovewins,44,0
0:40:57,@LemanieGrace,Kids react to the 2013 @cheerios ad: https://t.co/3yFCE9ylS5 #LoveWins #LoveStillWinsYaJerks,633,0
0:41:22,@5uhaila,Love knows no color. Married for 5 years and expecting our first baby in October. Thank you @OldNavy #LoveWins https://t.co/YnNdW4QTdJ,966,0
0:41:23,@FFCCOOLJC,@halleberry @nytimes To all the racist tweets to @OldNavy #lovewins. Halle.. Please retweet this! Thx and we luv u! https://t.co/OA1WOD12lz,1709,1
0:42:30,@FFCCOOLJC,@JanetJackson #lovewins @OldNavy https://t.co/GEIYckNA02,1709,2
0:43:12,@GeneralMings,If #LIFE was only a simple as #TEA. Drink Tea. Love More. #LoveMeTomorrow #Yazu #DrinkTea #LoveWins https://t.co/WVXB7MedSD,1360,0
0:43:12,@StephenHerreid,"Example: ""I'm so pro-liberty I'm neutral on Leftist movements which seek to fine or imprison dissenters."" #LoveWins https://t.co/4hzFykviMP",921,1
0:43:27,@AmandaPresto,"RT @StephenHerreid: Example: ""I'm so pro-liberty I'm neutral on Leftist movements which seek to fine or imprison dissenters."" #LoveWins ht…",1517,1
0:45:36,@Mabel__pineslol,#LoveWins #MabelBot,2892,0
0:45:40,@Pretty_Renishia,RT @pattiemallette: Offended? Bitter? Got resentment? It's a trap to poison YOU! Forgive and let it go. #LoveisNOTselfSeeking #LoveIsHa…,273,1831
0:45:59,@Pretty_Renishia,RT @pattiemallette: You may NEVER be good enough for him or her.. Maybe even be a parent! But their opinion doesn't have to define you. #lo…,273,5324
0:46:03,@iAmMissMichelle,RT @emilyxmadison: The fact that it's 2016 & people freaked out over an ad of an interracial family is disturbing #OldNavy #LoveWins https:…,8342,61
