Time,Screen Name,Tweet,RT,Followers
0:00:00,@SomePeaceTalks,"RT @Ziplok_: i voted for Donald J. Trump today in Salt Lake City, Utah. #MakeAmericaGreatAgain @realDonaldTrump retweet this 100,000,000,00…",5,969
0:00:00,@izbori_SAD2016,RT @realDonaldTrump: Thank you- New York! I love you! #MakeAmericaGreatAgain #Trump2016 https://t.co/wyjV9DgdQA,2151,2
0:00:00,@9by4,@realDonaldTrump #MakeAmericaGreatAgain,0,1921
0:00:00,@SimplyROS888,RT @LindaSuhler: Senator Jeff Sessions Endorses Donald Trump. ✔️ VOTE #Trump2016 #UTCaucus #AZPrimary #MakeAmericaGreatAgain https://t.co/c…,318,46
0:00:00,@Heavyike32,RT @realDonaldTrump: Thank you- New York! I love you! #MakeAmericaGreatAgain #Trump2016 https://t.co/wyjV9DgdQA,2151,259
0:00:00,@deanbruscia_,RT @realDonaldTrump: Thank you- New York! I love you! #MakeAmericaGreatAgain #Trump2016 https://t.co/wyjV9DgdQA,2151,2320
0:01:00,@seventh7hunter,RT @_Proud_American: #Trump2016 #MakeAmericaGreatAgain #AlwaysTrump #Trump https://t.co/SwhSDpKBIT,204,73
0:01:00,@CllrBSilvester,"RT @DanScavino: Reuters National GOP Poll Looks like another broken ""CEILING!"" #MakeAmericaGreatAgain #Trump2016 https://t.co/HEhDIbRf5T",475,6795
0:01:00,@gracegreen_id,RT @DanScavino: Join @RealSheriffJoe & #TeamTrump! Hop aboard the #TrumpTrain and lets #MakeAmericaGreatAgain! #Trump2016 https://t.co/0oO…,782,200
0:01:00,@LoneSomeCedar,"RT @DanScavino: Reuters National GOP Poll Looks like another broken ""CEILING!"" #MakeAmericaGreatAgain #Trump2016 https://t.co/HEhDIbRf5T",475,816
0:01:00,@FreeStateYank,RT @DanScavino: Join @RealSheriffJoe & #TeamTrump! Hop aboard the #TrumpTrain and lets #MakeAmericaGreatAgain! #Trump2016 https://t.co/0oO…,782,1134
0:01:00,@CIndyStarbuck,"RT @DanScavino: Reuters National GOP Poll Looks like another broken ""CEILING!"" #MakeAmericaGreatAgain #Trump2016 https://t.co/HEhDIbRf5T",475,5194
0:01:00,@Rep_Of_NoFear,RT @KatrinaPierson: #MakeAmericaGreatAgain https://t.co/4lIK6f4kVB,719,6593
